"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.248880042E0,1.541793823E-1,6.467450867E0,7.224726105E0,9.697853334E0
1.258858042E0,2.137554932E-1,6.460116119E0,7.291786652E0,9.744174889E0
1.268836042E0,3.011737061E-1,6.438710632E0,7.374863892E0,9.794708655E0
1.278814042E0,3.620970154E-1,6.413712616E0,7.388635254E0,9.790748423E0
1.288792042E0,4.468208313E-1,6.416407013E0,7.472910004E0,9.859731829E0
1.298770042E0,4.974156189E-1,6.429280243E0,7.553143158E0,9.931416732E0
1.308748042E0,5.313949585E-1,6.411916351E0,7.494315491E0,9.877237295E0
1.318726042E0,5.755531311E-1,6.405629425E0,7.420219574E0,9.819521794E0
1.328704042E0,5.530998230E-1,6.400390320E0,7.342531128E0,9.756212330E0
1.338682042E0,5.550457764E-1,6.427933044E0,7.278763733E0,9.726602722E0
1.348660042E0,5.078938293E-1,6.456373901E0,7.215445404E0,9.695636775E0
1.358637042E0,4.815486145E-1,6.464157715E0,7.189249878E0,9.680007120E0
1.368615042E0,4.349954224E-1,6.481820984E0,7.159162445E0,9.667307340E0
1.378593042E0,4.429289246E-1,6.490502930E0,7.220235443E0,9.718776372E0
1.388571042E0,5.553451538E-1,6.479126587E0,7.358697510E0,9.820280984E0
1.398549042E0,6.471043396E-1,6.488407288E0,7.492668915E0,9.932686476E0
1.408527042E0,6.195616150E-1,6.492748260E0,7.481891327E0,9.925640251E0
1.418505167E0,5.742059326E-1,6.472689972E0,7.451504517E0,9.886877540E0
1.428483167E0,5.092410278E-1,6.521189117E0,7.501949615E0,9.953114184E0
1.438461167E0,4.096980286E-1,6.590195618E0,7.461383972E0,9.963472363E0
1.448439167E0,3.641926575E-1,6.594386902E0,7.393425293E0,9.913693180E0
1.458417167E0,3.394940186E-1,6.570885773E0,7.321275330E0,9.843417520E0
1.468395167E0,3.796105957E-1,6.576873322E0,7.231611786E0,9.782411559E0
1.478373167E0,3.585044861E-1,6.595734100E0,7.172035675E0,9.750401505E0
1.488350167E0,3.158432007E-1,6.635700989E0,7.199279022E0,9.796014648E0
1.498328167E0,2.746788025E-1,6.646328888E0,7.236252136E0,9.829164823E0
1.508306167E0,2.344125366E-1,6.678511963E0,7.198680267E0,9.822345385E0
1.518284167E0,1.856140137E-1,6.693780212E0,7.174430695E0,9.813949352E0
1.528262167E0,1.630110168E-1,6.678511963E0,7.233108673E0,9.846164518E0
1.538240167E0,1.649569702E-1,6.705156555E0,7.273524628E0,9.893962590E0
1.548218167E0,2.074685669E-1,6.720125427E0,7.268884277E0,9.901505320E0
1.558196167E0,2.447410583E-1,6.734046478E0,7.362739105E0,9.980842013E0
1.568174167E0,2.722837830E-1,6.768923950E0,7.426207123E0,1.005191634E1
1.578152167E0,2.475851440E-1,6.804400177E0,7.400161285E0,1.005602045E1
1.588130167E0,1.842668152E-1,6.829996948E0,7.300767975E0,9.999201248E0
1.598108167E0,1.085243225E-1,6.835236053E0,7.227869568E0,9.948584217E0
1.608086167E0,7.918533325E-2,6.853647766E0,7.205565948E0,9.944794551E0
1.618063167E0,1.378633118E-1,6.877448273E0,7.185956726E0,9.947676870E0
1.628041167E0,1.698966980E-1,6.867119751E0,7.236401825E0,9.977560320E0
1.638019167E0,1.983375549E-1,6.900200958E0,7.233258362E0,9.998606782E0
1.647997167E0,2.053729248E-1,6.945706329E0,7.124135284E0,9.951799737E0
1.657975167E0,1.511856079E-1,6.981481934E0,6.978039093E0,9.872030017E0
